Date,Temp Avg,Humidity Avg,RR,Inflasi YoY,Produksi BM,Produksi BP,Produksi CR,is_tahun_baru,is_natal,is_idul_fitri,Bawang Merah,Bawang Putih,Cabai Rawit
2023-01-01,24.3,89,30.5,6.06,179356.0,208.0,163987.0,1,0,0,34367,28400,69483
2023-01-02,24.4,91,25.0,6.06,179356.0,208.0,163987.0,0,0,0,34950,28400,76800
2023-01-03,24.3,89,21.8,6.06,179356.0,208.0,163987.0,0,0,0,35400,28350,78600
2023-01-04,25.4,85,10.6,6.06,179356.0,208.0,163987.0,0,0,0,35950,28550,78400
2023-01-05,26.0,83,1.9,6.06,179356.0,208.0,163987.0,0,0,0,36550,28450,75200
2023-01-06,0.0,0,0.0,6.06,179356.0,208.0,163987.0,0,0,0,36400,28400,71950
2023-01-07,0.0,0,0.0,6.06,179356.0,208.0,163987.0,0,0,0,36483,28350,72417
2023-01-08,25.6,88,0.0,6.06,179356.0,208.0,163987.0,0,0,0,36567,28300,72883
2023-01-09,26.4,80,17.0,6.06,179356.0,208.0,163987.0,0,0,0,36650,28250,73350
2023-01-10,26.4,84,0.0,6.06,179356.0,208.0,163987.0,0,0,0,36650,28300,72100
2023-01-11,0.0,0,0.5,6.06,179356.0,208.0,163987.0,0,0,0,36950,28300,69700
2023-01-12,26.9,80,0.0,6.06,179356.0,208.0,163987.0,0,0,0,37100,28150,69100
2023-01-13,25.9,86,0.6,6.06,179356.0,208.0,163987.0,0,0,0,37000,28150,66950
2023-01-14,26.8,80,41.3,6.06,179356.0,208.0,163987.0,0,0,0,37100,28183,65533
2023-01-15,25.9,88,0.5,6.06,179356.0,208.0,163987.0,0,0,0,37200,28217,64117
2023-01-16,26.0,85,13.0,6.06,179356.0,208.0,163987.0,0,0,0,37300,28250,62700
2023-01-17,24.4,92,0.0,6.06,179356.0,208.0,163987.0,0,0,0,37300,28250,60950
2023-01-18,24.7,92,3.8,6.06,179356.0,208.0,163987.0,0,0,0,38250,28450,58200
2023-01-19,25.2,88,0.0,6.06,179356.0,208.0,163987.0,0,0,0,39400,28450,58700
2023-01-20,25.4,86,0.0,6.06,179356.0,208.0,163987.0,0,0,0,41050,28450,60300
2023-01-21,25.0,86,0.0,6.06,179356.0,208.0,163987.0,0,0,0,41050,28450,60300
2023-01-22,25.9,84,1.1,6.06,179356.0,208.0,163987.0,0,0,0,41050,28450,60300
2023-01-23,26.1,84,0.4,6.06,179356.0,208.0,163987.0,0,0,0,41050,28450,60300
2023-01-24,25.5,84,1.0,6.06,179356.0,208.0,163987.0,0,0,0,41650,28600,60800
2023-01-25,23.9,93,0.8,6.06,179356.0,208.0,163987.0,0,0,0,41900,28650,60100
2023-01-26,25.0,85,11.0,6.06,179356.0,208.0,163987.0,0,0,0,41800,28700,60650
2023-01-27,26.2,86,0.2,6.06,179356.0,208.0,163987.0,0,0,0,42100,28700,61650
2023-01-28,24.6,92,1.4,6.06,179356.0,208.0,163987.0,0,0,0,42500,28783,61233
