Date,Temp Avg,Humidity Avg,RR
2023-01-01,24.3,89,30.5
2023-01-02,24.4,91,25.0
2023-01-03,24.3,89,21.8
2023-01-04,25.4,85,10.6
2023-01-05,26.0,83,1.9
2023-01-06,0.0,0,0.0
2023-01-07,0.0,0,0.0
2023-01-08,25.6,88,0.0
2023-01-09,26.4,80,17.0
2023-01-10,26.4,84,0.0
2023-01-11,0.0,0,0.5
2023-01-12,26.9,80,0.0
2023-01-13,25.9,86,0.6
2023-01-14,26.8,80,41.3
2023-01-15,25.9,88,0.5
2023-01-16,26.0,85,13.0
2023-01-17,24.4,92,0.0
2023-01-18,24.7,92,3.8
2023-01-19,25.2,88,0.0
2023-01-20,25.4,86,0.0
2023-01-21,25.0,86,0.0
2023-01-22,25.9,84,1.1
2023-01-23,26.1,84,0.4
2023-01-24,25.5,84,1.0
2023-01-25,23.9,93,0.8
2023-01-26,25.0,85,11.0
2023-01-27,26.2,86,0.2
2023-01-28,24.6,92,1.4
2023-01-29,25.6,89,27.7
2023-01-30,25.9,87,1.0
2023-01-31,25.8,90,0.0
2023-02-01,25.2,89,5.6
2023-02-02,25.9,88,0.9
2023-02-03,25.6,82,6.2
2023-02-04,27.1,74,0.0
2023-02-05,26.0,76,0.0
2023-02-06,26.7,78,0.0
2023-02-07,0.0,0,0.6
2023-02-08,26.1,79,0.0
2023-02-09,26.2,73,5.0
2023-02-10,26.0,81,4.0
2023-02-11,25.9,89,0.5
2023-02-12,23.3,94,51.6
2023-02-13,23.9,88,10.4
2023-02-14,25.1,84,4.1
2023-02-15,24.9,85,5.0
2023-02-16,24.9,88,4.0
2023-02-17,24.7,93,4.3
2023-02-18,25.0,90,33.0
2023-02-19,25.4,88,13.7
2023-02-20,25.9,82,0.0
2023-02-21,25.8,86,1.3
2023-02-22,24.5,94,0.5
2023-02-23,25.0,92,13.2
2023-02-24,25.4,92,16.2
2023-02-25,25.3,92,12.8
2023-02-26,24.6,93,9.1
2023-02-27,25.2,90,45.2
2023-02-28,25.1,89,11.1
2023-03-01,24.9,90,7.0
2023-03-02,23.9,95,15.8
2023-03-03,26.0,82,20.5
2023-03-04,24.3,88,1.1
2023-03-05,25.2,87,13.8
2023-03-06,26.1,82,0.3
2023-03-07,25.5,84,0.0
2023-03-08,24.7,88,0.0
2023-03-09,26.7,82,0.0
2023-03-10,25.0,88,0.0
2023-03-11,25.2,89,32.5
2023-03-12,26.0,87,14.2
2023-03-13,25.2,88,0.0
2023-03-14,25.7,89,35.7
2023-03-15,25.0,90,1.2
2023-03-16,25.6,84,0.0
2023-03-17,26.1,83,0.0
2023-03-18,26.6,80,6.0
2023-03-19,26.1,87,24.0
2023-03-20,25.9,88,2.5
2023-03-21,26.1,82,28.7
2023-03-22,27.4,82,2.7
2023-03-23,28.2,83,0.2
2023-03-24,26.1,90,2.1
2023-03-25,25.4,90,68.5
2023-03-26,25.9,90,9.3
2023-03-27,25.2,90,5.7
2023-03-28,0.0,0,30.0
2023-03-29,26.1,86,0.0
2023-03-30,26.2,82,0.3
2023-03-31,26.9,83,3.7
2023-04-01,26.1,82,0.0
2023-04-02,26.2,84,1.7
2023-04-03,0.0,0,0.0
2023-04-04,26.4,81,0.0
2023-04-05,27.5,74,0.0
2023-04-06,26.9,74,0.0
2023-04-07,26.4,78,0.0
2023-04-08,0.0,0,0.0
2023-04-09,0.0,0,0.0
2023-04-10,26.4,86,0.0
2023-04-11,25.9,85,0.0
2023-04-12,26.4,85,2.5
2023-04-13,26.4,82,9.3
2023-04-14,26.5,83,0.0
2023-04-15,27.6,79,0.5
2023-04-16,27.0,84,1.0
2023-04-17,27.6,80,0.0
2023-04-18,27.3,84,0.0
2023-04-19,26.5,88,42.5
2023-04-20,27.0,88,42.3
2023-04-21,26.5,86,17.0
2023-04-22,27.1,84,40.5
2023-04-23,26.3,89,76.0
2023-04-24,26.1,88,69.0
2023-04-25,25.6,90,7.5
2023-04-26,26.6,87,1.0
2023-04-27,26.5,86,0.0
2023-04-28,27.4,86,2.0
2023-04-29,27.5,84,0.0
2023-04-30,27.4,84,0.0
2023-05-01,27.5,84,0.0
2023-05-02,27.1,85,0.0
2023-05-03,26.3,90,11.6
2023-05-04,26.8,88,68.1
2023-05-05,27.3,86,0.0
2023-05-06,27.3,84,0.2
2023-05-07,26.5,90,0.0
2023-05-08,26.3,90,58.8
2023-05-09,28.2,80,26.9
2023-05-10,28.3,80,0.0
2023-05-11,26.8,86,0.0
2023-05-12,28.4,76,0.0
2023-05-13,26.7,87,0.0
2023-05-14,27.5,74,12.8
2023-05-15,26.9,79,0.0
2023-05-16,27.2,74,0.0
2023-05-17,26.8,78,0.0
2023-05-18,27.1,80,0.0
2023-05-19,26.8,84,0.0
2023-05-20,27.6,82,0.2
2023-05-21,26.9,86,1.0
2023-05-22,26.4,83,3.0
2023-05-23,27.2,79,1.3
2023-05-24,27.0,82,0.0
2023-05-25,25.9,84,0.0
2023-05-26,27.5,80,55.0
2023-05-27,26.6,87,26.5
2023-05-28,27.1,82,0.0
