Date,Bawang Merah,Bawang Putih,Cabai Rawit
2023-01-01,34367,28400,69483
2023-01-02,34950,28400,76800
2023-01-03,35400,28350,78600
2023-01-04,35950,28550,78400
2023-01-05,36550,28450,75200
2023-01-06,36400,28400,71950
2023-01-07,36483,28350,72417
2023-01-08,36567,28300,72883
2023-01-09,36650,28250,73350
2023-01-10,36650,28300,72100
2023-01-11,36950,28300,69700
2023-01-12,37100,28150,69100
2023-01-13,37000,28150,66950
2023-01-14,37100,28183,65533
2023-01-15,37200,28217,64117
2023-01-16,37300,28250,62700
2023-01-17,37300,28250,60950
2023-01-18,38250,28450,58200
2023-01-19,39400,28450,58700
2023-01-20,41050,28450,60300
2023-01-21,41050,28450,60300
2023-01-22,41050,28450,60300
2023-01-23,41050,28450,60300
2023-01-24,41650,28600,60800
2023-01-25,41900,28650,60100
2023-01-26,41800,28700,60650
2023-01-27,42100,28700,61650
2023-01-28,42500,28783,61233
2023-01-29,42900,28867,60817
2023-01-30,43300,28950,60400
2023-01-31,44450,29100,61100
2023-02-01,45500,29200,61250
2023-02-02,45450,29600,61550
2023-02-03,45550,29700,60800
2023-02-04,45667,29767,61733
2023-02-05,45783,29833,62667
2023-02-06,45900,29900,63600
2023-02-07,45900,29950,64050
2023-02-08,45850,29950,64300
2023-02-09,45550,30200,64550
2023-02-10,45350,30200,63950
2023-02-11,44250,30083,64550
2023-02-12,43150,29967,65150
2023-02-13,42050,29850,65750
2023-02-14,40850,29750,65900
2023-02-15,40150,29750,65850
2023-02-16,40100,29750,67150
2023-02-17,40000,29750,69450
2023-02-18,39567,29900,71117
2023-02-19,39133,30050,72783
2023-02-20,38700,30200,74450
2023-02-21,38250,30400,74600
2023-02-22,37900,30550,75000
2023-02-23,37800,30700,75950
2023-02-24,37300,30900,74900
2023-02-25,36933,31150,73483
2023-02-26,36567,31400,72067
2023-02-27,36200,31650,70650
2023-02-28,36200,31950,69850
2023-03-01,36100,32100,68550
2023-03-02,36200,32100,68100
2023-03-03,36400,32150,68200
2023-03-04,36483,32333,71033
2023-03-05,36567,32517,73867
2023-03-06,36650,32700,76700
2023-03-07,36800,32800,77800
2023-03-08,36950,33250,77800
2023-03-09,36950,33500,78200
2023-03-10,37000,34150,78200
2023-03-11,36850,34317,78633
2023-03-12,36700,34483,79067
2023-03-13,36550,34650,79500
2023-03-14,36400,34700,78800
2023-03-15,36450,34800,78350
2023-03-16,36400,34750,78450
2023-03-17,36250,34600,78100
2023-03-18,36233,34583,80100
2023-03-19,36217,34567,82100
2023-03-20,36200,34550,84100
2023-03-21,36400,34450,86800
2023-03-22,37550,33300,85900
2023-03-23,36050,34450,86800
2023-03-24,36850,34350,85950
2023-03-25,36717,34367,85033
2023-03-26,36583,34383,84117
2023-03-27,36450,34400,83200
2023-03-28,36150,34250,77650
2023-03-29,36050,34100,73400
2023-03-30,36000,33950,66200
2023-03-31,35900,33650,64650
2023-04-01,35733,33617,62733
2023-04-02,35567,33583,60817
2023-04-03,35400,33550,58900
2023-04-04,35250,33500,57150
2023-04-05,35150,33500,55400
2023-04-06,34950,33500,53650
2023-04-07,36050,32150,51950
2023-04-08,35700,32617,50450
2023-04-09,35350,33083,48950
2023-04-10,35000,33550,47450
2023-04-11,35050,33500,46350
2023-04-12,34900,33500,46300
2023-04-13,35350,33500,45450
2023-04-14,35700,33550,45450
2023-04-15,36833,33550,46783
