Date,Inflasi
2019-12,3.21
2020-01,3.4
2020-02,3.72
2020-03,3.95
2020-04,3.77
2020-05,2.93
2020-06,2.75
2020-07,2.21
2020-08,1.71
2020-09,1.77
2020-10,1.86
2020-11,1.99
2020-12,2.18
2021-01,1.87
2021-02,1.74
2021-03,1.43
2021-04,1.52
2021-05,2.03
2021-06,1.46
2021-07,1.64
2021-08,1.86
2021-09,1.76
2021-10,1.77
2021-11,1.74
2021-12,1.69
2022-01,1.98
2022-02,2.05
2022-03,2.74
2022-04,3.61
2022-05,3.57
2022-06,4.41
2022-07,4.94
2022-08,4.73
2022-09,6.12
2022-10,5.93
2022-11,5.75
2022-12,6.04
2023-01,6.06
2023-02,6.17
2023-03,5.25
2023-04,4.55
2023-05,4.32
2023-06,3.88
2023-07,3.46
2023-08,3.47
2023-09,2.35
2023-10,2.58
2023-11,2.85
2023-12,2.48
2024-01,3.02
2024-02,3.09
2024-03,3.48
2024-04,3.07
2024-05,2.78
2024-06,2.38
2024-07,2.25
2024-08,2.39
2024-09,2.09
2024-10,1.92
2024-11,1.67
2024-12,1.64
2025-01,0.79
2025-02,-0.27
2025-03,0.81
2025-05,3.16
